name,avg,x,y
大鹏半岛,51.22796796629938,114.475111,22.562571
梅沙,65.21463897914057,114.314017,22.598165
上塘,90.8736805696552,114.025073,22.642771
龙华中心,44.06050210375043,114.0526,22.718858
梅林关,70.97836700269673,114.059906,22.600114
龙华新区,63.33592095917993,114.055378,22.599024
科技园,134.87369089099482,113.89939,22.776066
蛇口,130.83408983003537,113.932241,22.497187
南山中心,124.61625318832601,113.929531,22.542304
华侨城,135.98288474775407,113.991722,22.539709
南头,116.73300204561365,113.927048,22.549163
前海,122.32631936965414,113.908988,22.520355
西丽,111.02470962840157,113.973377,22.593453
深圳湾,179.81091824949354,113.999711,22.528017
沙头角,75.10246310412361,114.240961,22.562319
坪山,52.258539676959636,114.333572,22.713594
盐田港,65.0583927614493,114.253226,22.568848
新秀,82.15806165122383,114.152046,22.552649
清水河,71.51372129449344,114.112111,22.584077
黄贝岭,90.74983076585696,114.147776,22.555274
翠竹,99.0626509585823,114.136934,22.571853
布心,90.18240700565482,114.146008,22.583835
竹子林,130.27015970542982,114.018122,22.542464
地王,94.6663862284047,114.117067,22.548942
东门,90.92746688434573,114.124834,22.55257
银湖,90.14625929671628,114.096144,22.574933
春风路,95.11798677325541,114.133568,22.547596
百仕达,97.69923857358445,114.144501,22.575121
罗湖口岸,84.16966129653599,114.123611,22.537961
莲塘,71.83215881475131,114.181004,22.5698
螺岭,89.20227135273936,114.134726,22.558255
洪湖,87.34580273363129,114.12688,22.572204
万象城,100.15046440219008,113.953028,22.521196
笋岗,90.03346318504941,114.120503,22.571338
园岭,101.30984673525339,113.947807,22.695468
上步,91.99066446711308,114.102273,22.545316
华强北,127.30689185646877,114.092507,22.549774
福田中心,120.38571961293295,114.059342,22.539585
赤尾,105.52617920142828,114.089619,22.537762
福田保税区,107.85788281338071,114.063168,22.514003
皇岗,101.54210738081859,114.066239,22.528766
华强南,107.63862904797502,114.091931,22.541463
梅林,110.71840164274188,114.057075,22.57079
黄木岗,93.23363820358534,114.086811,22.562255
上下沙,136.86181653416074,114.035849,22.527869
景田,108.98566449391056,114.046647,22.562685
莲花,103.16280946237941,114.074512,22.554522
石厦,111.45893607615757,114.061891,22.527314
沙尾,90.98993456331796,114.047984,22.525171
香梅北,120.37290996743204,114.039442,22.559697
香蜜湖,147.1298264903578,114.029174,22.549569
新洲,116.84776221583608,114.053804,22.531997
百花,105.27404193955118,114.101632,22.558533
曦城,107.84886779741709,113.914349,22.597212
松岗,52.918710636137796,113.84849,22.772051
后海,127.7644333153383,113.941981,22.512803
大学城,112.75413382105496,113.967945,22.585795
红树湾,151.91797280238148,113.977915,22.529139
宝安中心,115.01801331828675,113.894846,22.561782
碧海,101.80317887200934,114.001672,22.535207
翻身,87.17559844810195,113.913261,22.556798
福永,63.713346188210934,113.808822,22.68504
石岩,74.0256518454886,113.94603,22.687349
沙井,53.527698013806095,113.825735,22.733512
红山,89.537209274167,114.031874,22.627458
西乡,82.1489911064161,113.890041,22.586689
新安,89.54199440476351,112.161458,34.724212
观澜,78.84366838863457,114.061443,22.72097
八卦岭,93.43357237712955,114.105499,22.564831
车公庙,121.66137050893367,114.033494,22.537642
桃源居,62.9055542485677,113.873559,22.620888
公明,65.97427866812839,113.903229,22.785135
布吉石芽岭,59.02214260113818,114.14061,22.629956
布吉街,57.90899830584933,114.12263,22.604668
布吉水径,68.98625238953457,114.116109,22.627069
坂田,92.09385412591928,114.07638,22.64259
布吉大芬,69.94960904891809,114.142665,22.615801
大运新城,61.32903365262442,114.219244,22.711305
横岗,69.70744340724823,114.203072,22.649769
布吉南岭,54.03845126185814,114.148569,22.608388
丹竹头,83.0241515094888,114.155238,22.625838
民治,60.644236900106456,114.042965,22.628731
龙岗双龙,45.0253804876014,114.283978,22.733777
龙岗宝荷,47.61357585474711,114.268881,22.694303
龙岗中心城,50.6196647958672,114.262414,22.732972
平湖,55.952043151720844,114.132448,22.699925
坪地,41.48193618683859,114.315961,22.780394
白石洲,148.997754643136,113.975331,22.544906
布吉关,73.03699912305396,114.126242,22.581442
