ID,floor,rent
BJ1712378196185317376,6,35.526315789473685
BJ2898562730338557952,2,97.77082518576458
BJ2897190668550553600,3,26.1812088736844
BJ1613203985907318784,11,60.0
BJ1608332984685953024,6,60.60606060606061
BJ1712795227112079360,6,33.13658486072279
BJ1603659545794576384,2,121.08852208272258
BJ1712391003547107328,7,38.32396525293817
BJ1664202310491832320,5,22.0
BJ1711676400722771968,6,38.35616438356164
BJ1675734947903569920,2,34.78260869565217
BJ1718900748743344128,3,52.4390243902439
BJ1672453230312816640,6,27.47252747252747
BJ1609400066643066880,4,48.31460674157304
BJ1694983991284727808,4,22.40143369175627
BJ1650822012039331840,2,80.34817542684968
BJ1692462031967354880,6,31.428571428571427
BJ1678721460106952704,6,35.0
BJ1680071951055323136,5,38.537295538237565
BJ1691765685404827648,6,24.61033634126333
BJ1698213300476575744,14,41.66666666666666
BJ1691109284160471040,6,41.66666666666666
BJ1693547563229118464,6,29.41176470588235
BJ1654339467063853056,6,34.47904320655102
BJ1692799149289766912,5,30.0
BJ1636945096295317504,7,40.325832728445846
BJ1684807156630552576,16,24.0
BJ1715987464813805568,5,43.85195579722856
BJ1688443246700658688,20,48.31460674157304
BJ1705448641684045824,21,53.93258426966292
BJ1702609347181281280,21,47.19101123595506
BJ1693204915297452032,21,50.561797752808985
BJ1700059186177507328,21,56.94444444444444
BJ1702942276143022080,20,46.06741573033708
BJ1703654720654016512,21,49.438202247191015
BJ1702922508887392256,20,47.0
BJ1698315229642883072,21,48.31460674157304
BJ1695070432203374592,28,52.80898876404494
BJ1711946132172570624,20,51.13636363636363
BJ1701593797252612096,28,50.561797752808985
BJ1709900529951309824,21,55.65449688334817
BJ1688850474976935936,21,52.27272727272727
BJ1691075108807901184,25,61.224489795918366
BJ1709424878643314688,16,76.38888888888889
BJ1707346731944902656,25,50.0
BJ1716823025904517120,26,69.53333333333333
BJ1686596507442085888,18,67.74193548387096
BJ1699416541570793472,11,57.17418546365914
BJ1681888227339796480,26,67.37588652482269
BJ1715931600685891584,18,81.81818181818181
BJ1697499888670998528,18,68.85057471264368
BJ1717445568952795136,17,65.21739130434783
BJ1668104315874574336,3,133.06451612903226
BJ1697541910173843456,22,90.95095556067234
BJ1697499297303494656,18,68.85057471264368
BJ1685620296725299200,25,54.50819672131148
BJ1701572364145262592,18,84.09014463504877
BJ1697882422214918144,21,52.33644859813084
BJ1710528636500574208,26,52.78950877972883
BJ1711950279894630400,27,50.54945054945055
BJ1670067078683426816,24,89.52996766973389
BJ1698633864076853248,25,75.96899224806202
BJ1717863490602926080,22,68.18181818181819
BJ1691300739692888064,27,44.943820224719104
BJ1709401209481199616,10,70.66666666666667
BJ1716839451423932416,20,83.33333333333333
BJ1676889877007826944,23,82.73381294964028
BJ1717441890330083328,18,75.34246575342466
BJ1701791948261556224,25,83.37303477846594
BJ1711046895398289408,18,74.32432432432432
BJ1692810198638395392,27,59.71223021582734
BJ1714509628366127104,17,70.0
BJ1675080599020240896,18,110.03236245954692
BJ1695697422124056576,19,85.18518518518519
BJ1683014400526516224,18,76.66666666666667
BJ1676886892118802432,20,82.3529411764706
BJ1701136779492458496,24,50.588235294117645
BJ1702216349368975360,27,55.0
BJ1708856787614040064,18,82.75862068965517
BJ1676439484817735680,20,85.29411764705883
BJ1699725752963956736,10,70.57163020465772
BJ1717021411953868800,10,94.73684210526316
BJ1697157855683018752,23,70.49891540130152
BJ1717581787070201856,18,74.98333333333333
BJ1693609747061669888,25,49.925112331502746
BJ1710266588638216192,25,50.0
BJ1705475228605349888,19,100.0
BJ1696025174123479040,10,72.88135593220339
BJ1697079020153208832,18,96.93877551020408
BJ1702286596679663616,12,95.0
BJ1709850487743840256,24,53.82775119617225
BJ1716386351890300928,11,46.61016949152543
BJ1717018536221605888,28,87.73853915332309
BJ1716682140831186944,10,76.66666666666667
BJ1689253569456242688,18,46.66666666666666
BJ1718137318512001024,20,58.57142857142857
BJ1718567128153456640,6,44.11764705882353
BJ1716778285192445952,6,63.63636363636363
BJ1715360465225252864,9,63.146067415730336
BJ1717137990737723392,18,48.888888888888886
BJ1717430672546594816,21,48.80952380952381
BJ1712408177753980928,18,73.03370786516854
